CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
1,1,19,15,39,0
2,1,21,15,81,4
3,0,20,16,6,0
4,0,23,16,77,4
5,0,31,17,40,0
6,0,22,17,76,4
7,0,35,18,6,0
8,0,23,18,94,4
9,1,64,19,3,0
10,0,30,19,72,4
11,1,67,19,14,0
12,0,35,19,99,4
13,0,58,20,15,0
14,0,24,20,77,4
15,1,37,20,13,0
16,1,22,20,79,4
17,0,35,21,35,0
18,1,20,21,66,4
19,1,52,23,29,0
20,0,35,23,98,4
21,1,35,24,35,0
22,1,25,24,73,4
23,0,46,25,5,0
24,1,31,25,73,4
25,0,54,28,14,0
26,1,29,28,82,4
27,0,45,28,32,0
28,1,35,28,61,4
29,0,40,29,31,0
30,0,23,29,87,4
31,1,60,30,4,0
32,0,21,30,73,4
33,1,53,33,4,0
34,1,18,33,92,4
35,0,49,33,14,0
36,0,21,33,81,4
37,0,42,34,17,0
38,0,30,34,73,4
39,0,36,37,26,0
40,0,20,37,75,4
41,0,65,38,35,0
42,1,24,38,92,4
43,1,48,39,36,0
44,0,31,39,61,0
45,0,49,39,28,0
46,0,24,39,65,0
47,0,50,40,55,0
48,0,27,40,47,0
49,0,29,40,42,0
50,0,31,40,42,0
51,0,49,42,52,0
52,1,33,42,60,0
53,0,31,43,54,0
54,1,59,43,60,0
55,0,50,43,45,0
56,1,47,43,41,0
57,0,51,44,50,0
58,1,69,44,46,0
59,0,27,46,51,0
60,1,53,46,46,0
61,1,70,46,56,0
62,1,19,46,55,2
63,0,67,47,52,0
64,0,54,47,59,0
65,1,63,48,51,0
66,1,18,48,59,2
67,0,43,48,50,2
68,0,68,48,48,0
69,1,19,48,59,2
70,0,32,48,47,2
71,1,70,49,55,0
72,0,47,49,42,2
73,0,60,50,49,0
74,0,60,50,56,0
75,1,59,54,47,0
76,1,26,54,54,2
77,0,45,54,53,2
78,1,40,54,48,2
79,0,23,54,52,2
80,0,49,54,42,2
81,1,57,54,51,0
82,1,38,54,55,2
83,1,67,54,41,0
84,0,46,54,44,2
85,0,21,54,57,2
86,1,48,54,46,2
87,0,55,57,58,2
88,0,22,57,55,2
89,0,34,58,60,2
90,0,50,58,46,2
91,0,68,59,55,2
92,1,18,59,41,2
93,1,48,60,49,2
94,0,40,60,40,2
95,0,32,60,42,2
96,1,24,60,52,2
97,0,47,60,47,2
98,0,27,60,50,2
99,1,48,61,42,2
100,1,20,61,49,2
101,0,23,62,41,2
102,0,49,62,48,2
103,1,67,62,59,2
104,1,26,62,55,2
105,1,49,62,56,2
106,0,21,62,42,2
107,0,66,63,50,2
108,1,54,63,46,2
109,1,68,63,43,2
110,1,66,63,48,2
111,1,65,63,52,2
112,0,19,63,54,2
113,0,38,64,42,2
114,1,19,64,46,2
115,0,18,65,48,2
116,0,19,65,50,2
117,0,63,65,43,2
118,0,49,65,59,2
119,0,51,67,43,2
120,0,50,67,57,2
121,1,27,67,56,2
122,0,38,67,40,2
123,0,40,69,58,2
124,1,39,69,91,1
125,0,23,70,29,3
126,0,31,70,77,1
127,1,43,71,35,2
128,1,40,71,95,1
129,1,59,71,11,3
130,1,38,71,75,1
131,1,47,71,9,3
132,1,39,71,75,1
133,0,25,72,34,3
134,0,31,72,71,1
135,1,20,73,5,3
136,0,29,73,88,1
137,0,44,73,7,3
138,1,32,73,73,1
139,1,19,74,10,3
140,0,35,74,72,1
141,0,57,75,5,3
142,1,32,75,93,1
143,0,28,76,40,3
144,0,32,76,87,1
145,1,25,77,12,3
146,1,28,77,97,1
147,1,48,77,36,3
148,0,32,77,74,1
149,0,34,78,22,3
150,1,34,78,90,1
151,1,43,78,17,3
152,1,39,78,88,1
153,0,44,78,20,3
154,0,38,78,76,1
155,0,47,78,16,3
156,0,27,78,89,1
157,1,37,78,1,3
158,0,30,78,78,1
159,1,34,78,1,3
160,0,30,78,73,1
161,0,56,79,35,3
162,0,29,79,83,1
163,1,19,81,5,3
164,0,31,81,93,1
165,1,50,85,26,3
166,0,36,85,75,1
167,1,42,86,20,3
168,0,33,86,95,1
169,0,36,87,27,3
170,1,32,87,63,1
171,1,40,87,13,3
172,1,28,87,75,1
173,1,36,87,10,3
174,1,36,87,92,1
175,0,52,88,13,3
176,0,30,88,86,1
177,1,58,88,15,3
178,1,27,88,69,1
179,1,59,93,14,3
180,1,35,93,90,1
181,0,37,97,32,3
182,0,32,97,86,1
183,1,46,98,15,3
184,0,29,98,88,1
185,0,41,99,39,3
186,1,30,99,97,1
187,0,54,101,24,3
188,1,28,101,68,1
189,0,41,103,17,3
190,0,36,103,85,1
191,0,34,103,23,3
192,0,32,103,69,1
193,1,33,113,8,3
194,0,38,113,91,1
195,0,47,120,16,3
196,0,35,120,79,1
197,0,45,126,28,3
198,1,32,126,74,1
199,1,32,137,18,3
200,1,30,137,83,1
